agent,max_tile,score
expectimax_d3,256,3588
expectimax_d3,1024,12164
expectimax_d3,1024,15236
expectimax_d3,1024,16120
expectimax_d3,512,7900
expectimax_d3,1024,10808
expectimax_d3,512,7264
expectimax_d3,512,7204
expectimax_d3,256,3280
expectimax_d3,512,5512
expectimax_d3,512,7068
expectimax_d3,1024,12136
expectimax_d3,1024,16444
expectimax_d3,512,5440
expectimax_d3,1024,15940
expectimax_d3,1024,12380
expectimax_d3,1024,14460
expectimax_d3,512,7264
expectimax_d3,256,3476
expectimax_d3,1024,13048
expectimax_d3,1024,14452
expectimax_d3,1024,12484
expectimax_d3,1024,11072
expectimax_d3,1024,15620
expectimax_d3,512,6924
expectimax_d3,1024,11988
expectimax_d3,1024,15604
expectimax_d3,1024,14412
expectimax_d3,512,7132
expectimax_d3,512,7556
